Step 1952 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 1953 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 1954 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 1955 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 1956 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 1957 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 1958 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 1959 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 1960 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 1961 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 1962 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 1963 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 1964 | NS=0.00 EW=0.18 Imb=0.41 Action=0
Step 1965 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 1966 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 1967 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 1968 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 1969 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 1970 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 1971 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 1972 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 1973 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 1974 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 1975 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 1976 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 1977 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 1978 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 1979 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 1980 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 1981 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 1982 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 1983 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 1984 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 1985 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 1986 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 1987 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 1988 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 1989 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 1990 | NS=0.00 EW=0.18 Imb=0.41 Action=0
Step 1991 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 1992 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 1993 | NS=0.02 EW=0.23 Imb=0.39 Action=1
Step 1994 | NS=0.02 EW=0.20 Imb=0.41 Action=1
Step 1995 | NS=0.02 EW=0.20 Imb=0.41 Action=1
Step 1996 | NS=0.02 EW=0.18 Imb=0.42 Action=1
Step 1997 | NS=0.02 EW=0.17 Imb=0.43 Action=1
Step 1998 | NS=0.02 EW=0.15 Imb=0.43 Action=1
Step 1999 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2000 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2001 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2002 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2003 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2004 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2005 | NS=0.03 EW=0.00 Imb=0.52 Action=0
Step 2006 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 2007 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2008 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2009 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2010 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2011 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2012 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2013 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2014 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2015 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2016 | NS=0.00 EW=0.20 Imb=0.40 Action=0
Step 2017 | NS=0.00 EW=0.22 Imb=0.39 Action=0
Step 2018 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2019 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2020 | NS=0.02 EW=0.22 Imb=0.40 Action=1
Step 2021 | NS=0.02 EW=0.20 Imb=0.41 Action=1
Step 2022 | NS=0.02 EW=0.18 Imb=0.42 Action=1
Step 2023 | NS=0.02 EW=0.17 Imb=0.43 Action=1
Step 2024 | NS=0.02 EW=0.17 Imb=0.43 Action=1
Step 2025 | NS=0.02 EW=0.15 Imb=0.43 Action=1
Step 2026 | NS=0.02 EW=0.12 Imb=0.45 Action=1
Step 2027 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2028 | NS=0.03 EW=0.07 Imb=0.48 Action=1
Step 2029 | NS=0.03 EW=0.05 Imb=0.49 Action=0
Step 2030 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2031 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2032 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2033 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2034 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2035 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2036 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2037 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2038 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2039 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2040 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2041 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2042 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2043 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2044 | NS=0.00 EW=0.30 Imb=0.35 Action=1
Step 2045 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2046 | NS=0.00 EW=0.27 Imb=0.37 Action=1
