 Retrying in 1 seconds
step 0: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 1: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 2: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 3: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 4: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 5: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 6: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 7: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 8: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 9: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 10: q_j1=0.00 a_j1=0 | q_j2=0.00 a_j2=0
step 11: q_j1=0.00 a_j1=0 | q_j2=0.00 a_j2=0
step 12: q_j1=0.00 a_j1=0 | q_j2=0.00 a_j2=0
step 13: q_j1=0.00 a_j1=1 | q_j2=0.00 a_j2=1
step 14: q_j1=0.00 a_j1=1 | q_j2=0.03 a_j2=1
step 15: q_j1=0.02 a_j1=1 | q_j2=0.03 a_j2=1
step 16: q_j1=0.02 a_j1=1 | q_j2=0.07 a_j2=1
step 17: q_j1=0.03 a_j1=1 | q_j2=0.07 a_j2=1
step 18: q_j1=0.05 a_j1=1 | q_j2=0.10 a_j2=1
step 19: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 20: q_j1=0.10 a_j1=1 | q_j2=0.13 a_j2=1
step 21: q_j1=0.12 a_j1=1 | q_j2=0.13 a_j2=1
step 22: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 23: q_j1=0.15 a_j1=1 | q_j2=0.18 a_j2=0
step 24: q_j1=0.18 a_j1=1 | q_j2=0.18 a_j2=0
step 25: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=0
step 26: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=1
step 27: q_j1=0.18 a_j1=1 | q_j2=0.20 a_j2=1
step 28: q_j1=0.18 a_j1=1 | q_j2=0.20 a_j2=1
step 29: q_j1=0.17 a_j1=1 | q_j2=0.18 a_j2=1
step 30: q_j1=0.15 a_j1=1 | q_j2=0.18 a_j2=1
step 31: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 32: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 33: q_j1=0.15 a_j1=1 | q_j2=0.13 a_j2=1
step 34: q_j1=0.13 a_j1=1 | q_j2=0.12 a_j2=1
step 35: q_j1=0.15 a_j1=1 | q_j2=0.08 a_j2=1
step 36: q_j1=0.13 a_j1=1 | q_j2=0.08 a_j2=0
step 37: q_j1=0.10 a_j1=1 | q_j2=0.03 a_j2=0
step 38: q_j1=0.07 a_j1=1 | q_j2=0.05 a_j2=0
step 39: q_j1=0.07 a_j1=1 | q_j2=0.05 a_j2=1
step 40: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 41: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 42: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=1
step 43: q_j1=0.10 a_j1=1 | q_j2=0.10 a_j2=1
step 44: q_j1=0.08 a_j1=1 | q_j2=0.12 a_j2=1
step 45: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 46: q_j1=0.15 a_j1=1 | q_j2=0.17 a_j2=1
step 47: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 48: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 49: q_j1=0.22 a_j1=1 | q_j2=0.23 a_j2=0
step 50: q_j1=0.23 a_j1=1 | q_j2=0.25 a_j2=0
step 51: q_j1=0.25 a_j1=1 | q_j2=0.27 a_j2=0
step 52: q_j1=0.23 a_j1=1 | q_j2=0.27 a_j2=1
step 53: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 54: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 55: q_j1=0.22 a_j1=1 | q_j2=0.23 a_j2=1
step 56: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 57: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 58: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 59: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 60: q_j1=0.13 a_j1=1 | q_j2=0.10 a_j2=1
step 61: q_j1=0.10 a_j1=1 | q_j2=0.08 a_j2=1
step 62: q_j1=0.08 a_j1=0 | q_j2=0.07 a_j2=0
step 63: q_j1=0.08 a_j1=1 | q_j2=0.07 a_j2=0
step 64: q_j1=0.07 a_j1=1 | q_j2=0.05 a_j2=0
step 65: q_j1=0.10 a_j1=1 | q_j2=0.07 a_j2=1
step 66: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=1
step 67: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=1
step 68: q_j1=0.15 a_j1=1 | q_j2=0.08 a_j2=1
step 69: q_j1=0.18 a_j1=1 | q_j2=0.10 a_j2=1
step 70: q_j1=0.15 a_j1=1 | q_j2=0.12 a_j2=1
step 71: q_j1=0.17 a_j1=1 | q_j2=0.13 a_j2=1
step 72: q_j1=0.18 a_j1=1 | q_j2=0.15 a_j2=1
step 73: q_j1=0.23 a_j1=1 | q_j2=0.17 a_j2=1
step 74: q_j1=0.25 a_j1=1 | q_j2=0.18 a_j2=1
step 75: q_j1=0.27 a_j1=1 | q_j2=0.22 a_j2=0
step 76: q_j1=0.28 a_j1=1 | q_j2=0.25 a_j2=0
step 77: q_j1=0.30 a_j1=1 | q_j2=0.25 a_j2=0
