episode,steps,total_reward,n_states,epsilon,alpha
1,3719,-132376.10000000006,2552,0.985,0.0995
2,3769,-137468.69999999975,4122,0.970225,0.09900250000000001
3,3693,-135404.30000000013,5350,0.955671625,0.0985074875
4,3678,-134109.80000000037,6331,0.941336550625,0.09801495006250001
5,3732,-136078.89999999994,7166,0.927216502365625,0.09752487531218751
6,3691,-136082.29999999993,7771,0.9133082548301407,0.09703725093562657
7,3716,-132030.19999999992,8368,0.8996086310076885,0.09655206468094843
8,3792,-138082.4,8935,0.8861145015425732,0.09606930435754368
9,3713,-137254.20000000036,9472,0.8728227840194346,0.09558895783575597
10,3696,-139113.0000000002,9947,0.8597304422591431,0.09511101304657718
11,3736,-139383.00000000084,10372,0.8468344856252559,0.09463545798134429
12,3706,-132681.8000000001,10710,0.834131968340877,0.09416228069143756
13,3637,-133551.69999999984,11045,0.8216199888157638,0.09369146928798038
14,3682,-136838.39999999988,11436,0.8092956889835273,0.09322301194154048
15,3760,-135983.1999999999,11816,0.7971562536487744,0.09275689688183278
16,3691,-135011.6000000002,12128,0.7851989098440427,0.09229311239742362
17,3674,-135856.00000000052,12420,0.773420926196382,0.0918316468354365
18,3696,-138656.7,12687,0.7618196123034363,0.09137248860125932
19,3685,-133684.00000000017,12944,0.7503923181188847,0.09091562615825302
20,3689,-133144.0000000001,13128,0.7391364333471014,0.09046104802746176
21,3645,-134844.40000000017,13340,0.7280493868468949,0.09000874278732444
22,3734,-134946.19999999987,13566,0.7171286460441915,0.08955869907338782
23,3678,-135343.3999999999,13748,0.7063717163535286,0.08911090557802087
24,3717,-136800.89999999994,13991,0.6957761406082257,0.08866535105013076
25,3730,-135726.1,14229,0.6853394984991023,0.08822202429488012
26,3722,-136260.7999999996,14433,0.6750594060216157,0.08778091417340572
27,3657,-134551.29999999984,14629,0.6649335149312915,0.0873420096025387
28,3650,-133143.40000000023,14813,0.6549595122073221,0.086905299554526
29,3676,-133005.60000000012,14982,0.6451351195242122,0.08647077305675337
30,3713,-134095.30000000022,15145,0.635458092731349,0.0860384191914696
31,3753,-136076.39999999997,15322,0.6259262213403788,0.08560822709551225
32,3715,-137181.00000000023,15476,0.6165373280202731,0.08518018596003468
33,3677,-133539.80000000005,15629,0.607289268099969,0.08475428503023451
34,3737,-135936.40000000002,15815,0.5981799290784694,0.08433051360508334
35,3727,-134069.29999999993,15958,0.5892072301422924,0.08390886103705793
36,3712,-136681.80000000005,16128,0.580369121690158,0.08348931673187264
37,3680,-136387.40000000005,16249,0.5716635848648056,0.08307187014821328
38,3717,-134508.8999999998,16392,0.5630886310918335,0.08265651079747222
39,3738,-137129.19999999966,16539,0.554642301625456,0.08224322824348486
40,3694,-134863.50000000023,16637,0.5463226671010741,0.08183201210226744
41,3668,-135624.50000000012,16735,0.538127827094558,0.0814228520417561
42,3658,-133909.0000000003,16847,0.5300559096881396,0.08101573778154732
43,3691,-133223.49999999994,16975,0.5221050710428176,0.08061065909263958
44,3695,-136906.90000000002,17103,0.5142734949771753,0.08020760579717638
45,3621,-130711.29999999992,17215,0.5065593925525177,0.0798065677681905
46,3680,-136517.9999999999,17310,0.4989610016642299,0.07940753492934956
47,3652,-134284.9999999999,17414,0.49147658663926647,0.07901049725470281
48,3648,-132893.4000000004,17549,0.48410443783967744,0.0786154447684293
49,3669,-135039.29999999993,17671,0.47684287127208225,0.07822236754458715
50,3705,-135990.3000000004,17788,0.469690228203001,0.07783125570686422
51,3716,-136605.10000000018,17900,0.462644874779956,0.0774420994283299
52,3730,-137642.80000000005,18007,0.4557052016582566,0.07705488893118825
53,3713,-133606.0999999999,18106,0.4488696236333828,0.07666961448653231
54,3663,-135127.80000000016,18193,0.44213657927888206,0.07628626641409965
55,3704,-135802.20000000033,18268,0.43550453058969885,0.07590483508202915
56,3716,-134445.80000000045,18368,0.42897196263085335,0.075525310906619
57,3623,-132644.10000000027,18475,0.42253738319139056,0.07514768435208591
